"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3777","Переход по клику на 'Лента заказов'","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
"","9644","Увеличение счетчика 'Выполнено за всё время' при создании заказа","tests","2025-12-15","passed","2025-12-15","TestFeedSection","Раздел 'Лента заказов'","",""
"","3121","Переход по клику на 'Лента заказов'","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
"","2327","Закрытие модального окна кликом по крестику","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
"","4364","Закрытие модального окна кликом по крестику","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
"","1832","Открытие модального окна с деталями ингредиента","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
"","208","Увеличение счетчика ингредиента при добавлении в заказ","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
"","9677","Увеличение счетчика 'Выполнено за сегодня' при создании заказа","tests","2025-12-15","passed","2025-12-15","TestFeedSection","Раздел 'Лента заказов'","",""
"","7098","Увеличение счетчика 'Выполнено за сегодня' при создании заказа","tests","2025-12-15","passed","2025-12-15","TestFeedSection","Раздел 'Лента заказов'","",""
"","850","Увеличение счетчика ингредиента при добавлении в заказ","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
"","7485","Увеличение счетчика 'Выполнено за всё время' при создании заказа","tests","2025-12-15","passed","2025-12-15","TestFeedSection","Раздел 'Лента заказов'","",""
"","7469","Появление номера заказа в разделе 'В работе'","tests","2025-12-15","passed","2025-12-15","TestFeedSection","Раздел 'Лента заказов'","",""
"","6673","Появление номера заказа в разделе 'В работе'","tests","2025-12-15","passed","2025-12-15","TestFeedSection","Раздел 'Лента заказов'","",""
"","2278","Переход по клику на 'Конструктор'","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
"","4103","Открытие модального окна с деталями ингредиента","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
"","1655","Переход по клику на 'Конструктор'","tests","2025-12-15","passed","2025-12-15","TestMainFunctionality","Основная функциональность","",""
